"BG01_ESC" "BG02_ESC" "CyT49_ESC" "CyT49_Liver_D16" "CyT49_Liver_D5" "CyT49_Liver_D8" "CyT49_Panc_D12" "CyT49_Panc_D5" "CyT49_Panc_D8" "H1_ESC" "H7_ESC" "H9_ESC" "H9_Mesothelial" "H9_Smooth_Muscle" "HCT116_Epithelial_cells_from_colon_carcinoma" "HeLaS3_Cervical_Carcinoma" "HepG2_Hepatocellular_Carcinoma" "MCF-7_Adenocarcinoma" "SK-N-SH_Neuroblastoma" "time"
"1" "0.796537822091797" "0.79374170993694" "0.733542427355952" "0.71155846881363" "0.841224119700928" "0.80855307626004" "0.71299835912512" "0.852241256194964" "0.901550189337125" "0.786076315541517" "0.791697526404204" "0.789702595052977" "0.785303639082088" "0.778023825092017" "0.736113603543341" "0.540294765456108" "0.668827288360817" "0.670135197410931" "0.773812972819912" "1"
"2" "0.831462731681238" "0.808652808943116" "0.74969844875556" "0.748804449987188" "0.878342424883716" "0.869143778560598" "0.797752848978799" "0.857453062447163" "0.924570679521078" "0.813436071623307" "0.80620658311493" "0.802412404889733" "0.799736803277276" "0.839284803997204" "0.798409904448646" "0.554129587891646" "0.763465170556043" "0.753360422093488" "0.824574230532088" "2"
"3" "0.771458852446783" "0.716018116290208" "0.695735438923377" "0.775204457855234" "0.741611386649727" "0.793209574876701" "0.800183980885602" "0.778960225733178" "0.868387328965007" "0.790981096966471" "0.749118503190972" "0.74850019567788" "0.783618409211261" "0.773463118870858" "0.751404939443716" "0.514537204722155" "0.717880895569612" "0.714406036181182" "0.803491972777055" "3"
"4" "0.809489171795706" "0.760616615741767" "0.721353582424417" "0.759076848100948" "0.838155403903446" "0.886271372710526" "0.792721392326064" "0.871430673807964" "0.925091897362419" "0.760995648091074" "0.815707763138899" "0.761825263362835" "0.760619351079851" "0.815448520441512" "0.773735802243501" "0.614178659664826" "0.731399699563428" "0.706491959316936" "0.813093508072932" "4"
"5" "0.825845320623588" "0.736825603561024" "0.703918152413496" "0.763534358625823" "0.754580240955274" "0.839828444650416" "0.793013635885194" "0.809840872880839" "0.892232337258095" "0.839997422624635" "0.800638706093984" "0.787297323869777" "0.712213013036439" "0.739272247294907" "0.782880977606089" "0.55484010082386" "0.741546232421913" "0.685350831272559" "0.778834581915181" "5"
"6" "0.784263483271763" "0.733006010707489" "0.677950165564485" "0.702384388018017" "0.798283841136691" "0.818634352413803" "0.770623008484877" "0.790226680636147" "0.818927998756992" "0.774720825815663" "0.740987780761602" "0.743536313053982" "0.716047039752312" "0.726809466213621" "0.746259269501357" "0.508755734355342" "0.688892940033013" "0.678344501845921" "0.729134838284608" "6"
"7" "0.864332552487172" "0.800078195539067" "0.849557032420597" "0.738597000340981" "0.882967692287448" "0.880300693608775" "0.82852184328402" "0.888274311040893" "0.901618319816928" "0.857852563764525" "0.815787254993165" "0.828236345483274" "0.800936217510563" "0.775671527592464" "0.795479908437936" "0.666132968382092" "0.719804965227977" "0.742024087180124" "0.855911933182469" "7"
"8" "0.8110689392336" "0.75334738279614" "0.721286947368356" "0.749534899830675" "0.804583505639315" "0.846751425730648" "0.810151934035169" "0.870079990128521" "0.900781583646892" "0.814550583366454" "0.807844961115446" "0.757942810375528" "0.75250491968014" "0.776414536182485" "0.742599657954677" "0.552546940308733" "0.701691455686008" "0.704216151680014" "0.770895173841922" "8"
"9" "0.800233746631404" "0.751051006973787" "0.759953339371112" "0.726770498705005" "0.811054717135413" "0.883243761329545" "0.76737822134742" "0.853085659513172" "0.867761330782976" "0.807092740188831" "0.818426563203448" "0.785622775299388" "0.725126007514471" "0.804063900303032" "0.759136463085164" "0.640536616985422" "0.704893866378145" "0.72243166331714" "0.795420327847968" "9"
"10" "0.79150240505366" "0.768521379152528" "0.745257939858478" "0.772270122123486" "0.797127147159997" "0.844947017291056" "0.801213591313323" "0.802795212987078" "0.880676020418117" "0.810031677100913" "0.80809524966065" "0.794051167955366" "0.7252317012775" "0.753122452113996" "0.752783602883834" "0.579715377400266" "0.752540770882299" "0.681628851106646" "0.822989401213829" "10"
